Item_name, Item_main_link
Samsung_UE43TU7102, https://www.arukereso.hu/led-tv-lcd-tv-plazma-tv-c3164/samsung/ue43tu7102-p549879474/
MSI_GeForce_RTX_3070, https://www.arukereso.hu/videokartya-c3142/msi/geforce-rtx-3070-8gb-gddr6-256bit-rtx-3070-ventus-2x-oc-p603937926/
Sony_HTS20R_5.1_Hangfal, https://www.arukereso.hu/hangfal-c3161/sony/hts20r-5-1-p552122652/
Electrolux_EERC70EB, https://www.arukereso.hu/porszivo-takaritogep-c3170/electrolux/eerc70eb-p404294681/
Electrolux_EW8H357S, https://szaritogep.arukereso.hu/electrolux/ew8h357s-p420372741/
Apple_iPhone_11_64GB, https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-11-64gb-p497417526/
Xiaomi_Redmi_Note_9_Pro_128GB, https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/redmi-note-9-pro-128gb-6gb-ram-dual-p553599312/
Apple_iPhone_SE_2020_64GB, https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-se-2020-64gb-p550338258/
JBL_Tune_T120TWS, https://www.arukereso.hu/fulhallgato-fejhallgato-c3109/jbl/tune-t120tws-p480466098/
Sony_WH-CH510, https://www.arukereso.hu/fulhallgato-fejhallgato-c3109/sony/wh-ch510-p497141298/
Microsoft_Xbox_Series_X_1TB, https://www.arukereso.hu/jatekkonzol-c3154/microsoft/xbox-series-x-1tb-p521762994/
Lenovo_IdeaPad_3_81WB00LLHV, https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-3-81wb00llhv-p586882965/
Dyson_V8_Motorhead, https://www.arukereso.hu/porszivo-takaritogep-c3170/dyson/v8-motorhead-p501940360/?fbclid=IwAR38_W30vx-RkCdnPI_8Boyi1eUK1lCtEzvrl9QTpsO9Zs9FQbcvVNG2Nak
LG_27UL850_W, https://www.arukereso.hu/monitor-c3126/lg/27ul850-w-p464755155/
BenQ_EW2780U, https://www.arukereso.hu/monitor-c3126/benq/ew2780u-p534647061/
Logitech_h600, https://mikrofonos-fejhallgato.arukereso.hu/logitech/h600-981-000342-p50983973/
Apple_iPhone_12 mini_64GB, https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-12-mini-64gb-p595768461/
